ID ,"Knowledge Units 
 ",Topics ,Description 
1,Cryptography ,"Basic concepts 
 ","This topic covers basic concepts in cryptography to  
build the base for other sections in the knowledge  
unit. This topic includes: 
? Encryption/decryption, sender authentication,  
data integrity, non-repudiation, 
? Attack classification (ciphertext-only, known  
plaintext, chosen plaintext, chosen ciphertext),  
? Secret key (symmetric), cryptography and publickey (asymmetric) cryptography,  
? Information-theoretic security (one-time pad,  
Shannon Theorem), and 
• Computational security "
1, ,Advanced concepts ,"This topic includes: 
? Advanced protocols: 
o Zero-knowledge proofs, and protocols,  
o Secret sharing, 
o Commitment,  
o Oblivious transfer,  
o Secure multiparty computation, 
? Advanced recent developments: fully  
homomorphic encryption, obfuscation, quantum  
cryptography, and KLJN scheme. "
1, ,Mathematical background ,"This topic is essential in understanding encryption  
algorithms. More advanced concepts may be included,  
if needed. This topic includes: 
? Modular arithmetic,  
? Fermat, Euler theorems,  
? Primitive roots, discrete log problem,  
? Primality testing, factoring large integers,  
? Elliptic curves, lattices and hard lattice problems,  
? Abstract algebra, finite fields, and 
? Information theory. "
1, ,Historical ciphers ,"This topic includes the following and their current  
applications (if any): 
? Shift cipher, affine cipher, substitution cipher,  
Vigenere cipher, ROT-13, and 
? Hill cipher, Enigma machine, and others "
1, ,"Symmetric (private key)  
ciphers ","This topic includes: 
? B block ciphers and stream ciphers (pseudorandom permutations, pseudo-random  
generators),  
? Feistel networks, Data Encryption Standard  
(DES),  
? Advanced Encryption Standard (AES),  
? Modes of operation for block ciphers,  
? Differential attack, linear attack, and 
? Stream ciphers, linear feedback shift registers,  
RC4. "
1, ,"Asymmetric (public-key)  
ciphers ","This topic includes: 
? Theoretical concepts (Computational complexity,  
one-way trapdoor functions),  
? Naive RSA,  
? Weakness of Naive RSA, padded RSA,  
? Diffie-Hellman protocol, 
? El Gamal cipher,  
? Other public-key ciphers, including GoldwasserMicali, Rabin, Paillier, McEliece, and 
? Elliptic curves ciphers. "
"1,5 ",Digital Forensics , ,"This topic includes: 
? Definition, and 
? Limits and types of tools (open source versus  
closed source) "
"1,5 ", ,Legal Issues ,"This topic includes: 
? Right to privacy, 
? Fourth and Fifth Amendments, 
? Protection of encryption keys under the Fifth  
Amendment, 
? Types of legal authority (owner consent, search  
warrant, FISA, Title III (wiretap), abandonment,  
exigent circumstances, plain sight, etc.), 
? Protection from legal processes (e.g., ISP  
subscriber information via subpoena, e-mail  
server transactional data from 2703(d) court  
order, full content via search warrant, etc.), 
? Legal request for preservation of digital evidence  
(e.g., via 2703(f) preservation letter), and 
? Affidavits, testimony and testifying, "
"1,5 ", ,Digital forensic tools ,"This topic includes: 
? Types, 
? Artifact-focused versus all-in-one tools, 
? Requirements, and 
? Limitations "
"1,5 ", ,Investigatory process ,"This topic includes: 
? Alerts, 
? Identification of evidence, 
? Collection and preservation of evidence, 
? Timelines, reporting, chain of custody, and 
? Authentication of evidence. "
"1,5 ", ,"Acquisition and  
preservation of evidence ","This topic includes: 
? Pull-the-plug versus triage, 
? Write-blocking, 
? Forensically-prepared destination media, 
? Imaging procedures, 
? Acquisition of volatile evidence, 
? Live forensics analysis, and 
? Chain of custody. "
"1,5 ", ,Analysis of evidence ,"This topic focuses on knowledge (awareness the  
artifact exists), attributes (components and possible  
variations of the artifact), origin/cause (emphasis on  
why the artifact exists), discoverability (how the  
artifact is located/viewed with tools), relevance  
(significance in the context of the specific  
investigation). 
Includes:  
? Sources of digital evidence, 
? Deleted and undeleted files, temporary files, 
? Metadata, 
? Print spool files 
? Slack space, 
? Hibernation files, 
? Windows registry, 
? Browser history, 
? Log files, 
? File systems, 
? File recovery, and 
? File carving. "
"1,5 ", ,Presentation of results ,"This topic includes: 
? Timeline analysis, 
? Attribution,  
? Lay versus technical explanations, 
? Executive summaries, 
? Detailed reports, and 
? Limitations. "
"1,5 ", ,"Authentication of  
evidence ","This topic includes: 
? Hashing algorithms (MD5, SHA-1, etc.), 
? Hashing entire media vs individual files, and 
? Pre-exam and post-exam verification hashing. "
"1,5 ", ,"Reporting, incident  
response and handling ","This topic includes: 
? Report structures, 
? Incident detection and analysis, 
? Containment, eradication and recovery, 
? Post-incident activities, and 
? Information sharing, "
"1,5 ", ,Mobile forensics ,"This topic includes: 
? Wireless technologies, 
? Mobile device technology, 
? Collection/Isolation of mobile device, 
? Mobile operating systems (OS) and Apps, and 
? Mobile artifacts "
1,"Data Integrity and  
Authentication ",Authentication strength ,"This topic includes: 
? Multifactor authentication, 
? Cryptographic tokens, 
? Cryptographic devices, 
? Biometric authentication, 
? One-time passwords, and 
? Knowledge-based authentication "
1, ,"Password attack  
technique ","This topic includes: 
? Dictionary attack, 
? Brute force attack, 
? Rainbow table attack, 
? Phishing and social engineering, 
? Malware-based attack, 
? Spidering, 
? Off-line analysis, and 
? Password cracking tools "
1, ,"Password storage  
techniques ","This topic includes: 
? Cryptographic hash functions (SHA-256, SHA-3,  
collision resistance), 
? Salting, 
? Iteration count, and 
? Password-based key derivation. "
1, ,Data integrity ,"This topic includes: 
? Message authentication codes (HMAC,  
CBC-MAC), 
? Digital signatures, 
? Authenticated encryption, and 
? Hash trees. "
1,Access Control ,Physical data security ,"This topic includes: 
? Data center security, including keyed access, man  
trips, key cards and video surveillance, 
? Rack-level security, and 
? Data destruction "
1, ,"Logical data access  
control ","This topic includes: 
? Access control lists, group policies, passwords, 
? Discretionary Access Control (DAC), 
? Mandatory Access Control (MAC), 
? Role-based Access Control (RBAC), 
? Attribute-based Access Control (ABAC), 
? Rule-based Access Control (RAC), 
? History-based Access Control (HBAC), 
? Identity-based Access Control (IBAC), 
? Organization-based Access Control (OrBAC),  
and 
? Federated identities and access control. "
1, ,Secure architecture design ,"This topic includes: 
? Principles of a security architecture, and 
? Protection of information in computer systems. "
1, ,"Data leak prevention  
techniques ","This topic includes: 
? Controlling authorized boundaries, 
? Channels, 
? Destinations, and 
? Methods of data sharing. "
1,"Secure  
Communication  
Protocols ","Application and transport  
layer protocols ","This topic includes: 
? HTTP, 
? HTTPS, 
? SSH, and 
? SSL/TLS. "
1, ,Attacks on TLS ,"This topic includes: 
? Downgrade attacks, 
? Certificate forgery 
? Implications of stolen root certificates, and 
? Certificate transparency. "
1, ,Internet/Network layer ,This topic includes IPsec and VPN 
1, ,"Privacy preserving  
protocols ","This topic includes Mixnet, Tor, Off-the-record  
message, and Signal "
1, ,Data link layer ,"This topic includes L2TP, PPP and RADIUS. "
1,Cryptanalysis ,Classical attacks ,"This topic includes: 
? Brute-force attack,  
? Frequency-based attacks,  
? Attacks on the Enigma machine, and 
? Birthday-paradox attack. "
1, ,Side-channel attacks ,"This topic includes: 
? Timing attacks, 
? Power-consumption attacks, and 
? Differential fault analysis. "
