KSAT ID,0,1,2,3,4,5,6,7,8,Statement Description
K0001,0,0,0,0,1,0,0,0,0,"Knowledge of computer networking concepts and protocols, and network security methodologies"
K0002,0,0,0,0,0,0,0,1,0,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk)"
K0003,0,0,0,0,0,0,0,0,1,"Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy"
K0004,0,0,1,0,0,1,0,0,1,Knowledge of cybersecurity and privacy principles
K0005,1,0,0,1,1,1,0,0,0,Knowledge of cyber threats and vulnerabilities
K0006,0,0,0,0,1,0,0,1,0,Knowledge of specific operational impacts of cybersecurity lapses
K0007,0,0,0,0,0,1,0,0,0,"Knowledge of authentication, authorization, and access control methods"
K0008,0,0,0,0,0,0,0,1,0,Knowledge of applicable business processes and operations of customer organizations
K0009,0,0,1,0,0,0,0,0,0,Knowledge of application vulnerabilities
K0010,0,0,0,0,1,0,0,0,0,"Knowledge of communication methods, principles, and concepts that support the network infrastructure"
K0011,0,0,0,0,1,0,0,0,0,"Knowledge of capabilities and applications of network equipment including routers, switches, bridges, servers, transmission media, and related hardware"
K0012,0,0,0,0,0,1,0,0,0,Knowledge of capabilities and requirements analysis
K0013,0,0,0,0,1,0,0,1,0,Knowledge of cyber defense and vulnerability assessment tools and their capabilities
K0014,1,0,0,0,0,0,0,0,0,Knowledge of complex data structures
K0015,1,0,0,0,0,0,0,0,0,Knowledge of computer algorithms
K0016,1,0,0,0,0,0,0,0,0,Knowledge of computer programming principles
K0017,0,1,0,0,0,0,0,0,0,Knowledge of concepts and practices of processing digital forensic data
K0018,0,1,0,0,0,0,0,0,0,Knowledge of encryption algorithms
K0019,0,1,0,0,0,0,0,0,0,Knowledge of cryptography and cryptographic key management concepts
K0020,0,0,0,0,0,0,1,1,0,Knowledge of data administration and data standardization policies
K0021,0,0,0,0,0,1,0,0,0,Knowledge of data backup and recovery
K0022,1,0,0,0,0,0,0,0,0,Knowledge of data mining and data warehousing principles
K0023,0,0,0,0,0,0,0,1,0,"Knowledge of database management systems, query languages, table relationships, and views"
K0024,1,0,0,0,0,0,0,0,0,Knowledge of database systems
K0025,0,1,0,0,0,0,0,1,0,Knowledge of digital rights management
K0026,0,0,0,0,0,0,0,1,0,Knowledge of business continuity and disaster recovery continuity of operations plans
K0027,0,0,0,0,0,1,0,1,0,Knowledge of organization's enterprise information security architecture
K0028,0,0,0,0,0,0,0,1,0,Knowledge of organization's evaluation and validation requirements
K0029,0,0,0,0,0,0,0,1,0,Knowledge of organization's Local and Wide Area Network connections
K0030,0,0,0,1,0,0,0,0,0,"Knowledge of electrical engineering as applied to computer architecture (e.g., circuit boards, processors, chips, and computer hardware)"
K0031,0,0,0,0,0,0,0,1,0,Knowledge of enterprise messaging systems and associated software
K0032,0,0,0,0,0,0,0,1,0,Knowledge of resiliency and redundancy
K0033,0,0,0,0,1,1,0,0,0,"Knowledge of host/network access control mechanisms (e.g., access control list, capabilities lists)"
K0034,0,0,0,0,1,0,0,0,0,Knowledge of network services and protocols interactions that provide network communications
K0035,0,0,0,0,0,0,0,1,0,"Knowledge of installation, integration, and optimization of system components"
K0036,1,0,0,0,0,0,0,0,0,Knowledge of human-computer interaction principles
K0037,0,0,0,0,0,1,0,1,0,Knowledge of Security Assessment and Authorization process
K0038,0,0,0,0,0,0,0,1,0,"Knowledge of cybersecurity and privacy principles used to manage risks related to the use, processing, storage, and transmission of information or data"
K0039,0,0,1,0,0,0,0,0,0,Knowledge of cybersecurity and privacy principles and methods that apply to software development
K0040,0,0,0,0,0,0,0,1,0,"Knowledge of vulnerability information dissemination sources (e.g., alerts, advisories, errata, and bulletins)"
K0041,0,1,0,0,0,0,0,1,0,"Knowledge of incident categories, incident responses, and timelines for responses"
K0042,0,1,0,0,0,0,0,1,0,Knowledge of incident response and handling methodologies
K0043,0,0,1,0,0,0,0,0,0,Knowledge of industry-standard and organizationally accepted analysis principles and methods
K0044,0,0,1,0,0,1,0,1,1,"Knowledge of cybersecurity and privacy principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation)"
K0045,0,0,0,0,0,1,0,0,0,Knowledge of information security systems engineering principles (NIST SP 800-160)
K0046,0,0,0,0,1,1,0,0,0,Knowledge of intrusion detection methodologies and techniques for detecting host and network-based intrusions
K0047,0,0,0,0,1,1,0,0,0,Knowledge of information technology (IT) architectural concepts and frameworks
K0048,0,0,0,0,0,0,0,1,0,Knowledge of Risk Management Framework (RMF) requirements
K0049,0,0,0,0,1,0,0,0,0,"Knowledge of information technology (IT) security principles and methods (e.g., firewalls, demilitarized zones, encryption)"
K0050,0,0,0,0,1,0,0,0,0,Knowledge of local area and wide area networking principles and concepts including bandwidth management
K0051,1,0,0,0,0,0,0,0,0,"Knowledge of low-level computer languages (e.g., assembly languages)"
K0052,1,0,0,0,0,0,0,0,0,"Knowledge of mathematics (e.g. logarithms, trigonometry, linear algebra, calculus, statistics, and operational analysis)"
K0053,0,0,0,0,0,0,0,1,0,Knowledge of measures or indicators of system performance and availability
K0054,0,0,0,0,0,0,0,1,0,"Knowledge of current industry methods for evaluating, implementing, and disseminating information technology (IT) security assessment, monitoring, detection, and remediation tools and procedures utilizing standards-based concepts and capabilities"
K0055,0,0,0,0,1,0,0,0,0,Knowledge of microprocessors
K0056,0,0,0,0,0,0,1,0,0,"Knowledge of network access, identity, and access management (e.g., public key infrastructure, Oauth, OpenID, SAML, SPML)"
K0057,0,0,0,1,0,0,0,0,0,Knowledge of network hardware devices and functions
K0058,0,0,0,0,1,0,0,0,0,Knowledge of network traffic analysis methods
