,Statement Description
0,Biometrics
1, Security systems
2,TCP/IP networking
3, network addresses
4, routing information
5, packet
6, HTTP
7, IP
8, Routing Information Protocol (RIP)
9, TCP
10,privacy policies
11, data retention practices
12, consumer rights
13, provider responsibilities
14,network security concepts
15, cybersecurity threats
16,knowledge of security measures
17, understanding of security incident detection and response
18, awareness of logging and monitoring practices
19,disaster recovery
20, testing methodologies
21, structured walk throughs
22,Understanding of data recovery concepts
23, Knowledge of database server operations
24, Familiarity with backup strategies
25,knowledge of the United States Constitution
26, understanding of the Bill of Rights
27,knowledge of web access tools
28, understanding of command line utilities
29, familiarity with API testing
30,Knowledge of cryptographic concepts
31, Understanding of encryption and decryption processes
32, Familiarity with symmetric key vs asymmetric key cryptography distinctions
33,knowledge of modular arithmetic
34, familiarity with division algorithm
35,Knowledge of password strength
36, Understanding of character diversity
37, Familiarity with uppercase and lowercase letters
38, Awareness of special characters
39, Comprehension of number inclusion
40,knowledge of computer networking models
41, understanding of OSI model components
42, familiarity with TCP/IP model layers
43,Knowledge of expert systems
44, Understanding of inference engines
45, Familiarity with knowledge bases
46, Awareness of problem solving processes
47,Payment Card Industry Data Security Standard
48, code review process
49, software security
50, vulnerability assessment
51,Cybersecurity principles
52, Data integrity concepts
53,Network security concepts
54, IDS (Intrusion Detection Systems) types
55, Traffic patterns and analysis
56,WebAssembly knowledge
57, Browser technologies
58, Performance optimization
59, Cloud computing
60,knowledge of computer security terms
61, understanding of malware types and removal techniques
62,knowledge of cybersecurity threats
63, understanding of data breach causes
64,Wireless networking fundamentals
65, SSID definition
66,Release management processes
67, Software deployment practices
68, IT service management principles
69,Full mesh network topology
70, Combinatorics
71,Information Security
72, Information Assurance
73,stream ciphers
74, encryption concepts
75,Understanding of cybersecurity
76, Knowledge of software vulnerabilities
77, Awareness of cyber attack methods
78,  Familiarity with update mechanisms
79,knowledge of information security
80, understanding of organizational management
81, familiarity with budgeting and planning processes
82,DES cipher structure
83, DES encryption process
84,C.I.A. Triad components
85,Cloud security concepts
86, Data protection techniques
87, Encryption methods
88, Key management practices
89, Tokenization processes
90, Multitenancy architecture
91,cybersecurity
92, risk analysis
93, organization security
94, threat identification
95, safeguard identification
96,knowledge of security policies
97, understanding of banking systems
98, familiarity with bookkeeping applications
99,knowledge of steganography
100, understanding of digital watermarking purposes
101, awareness of file modification techniques
102,Knowledge of elliptic curve cryptography
103, Understanding of key agreement protocols
104, Familiarity with key derivation functions
105,Web application security
106, SQL injection attacks
107, Back end database access
108,knowledge of federal sentencing guidelines
109, understanding of computer crime laws
110, familiarity with corporate liability in legal contexts
111,knowledge of common encryption algorithms
112, understanding of RSA encryption
113, understanding of AES encryption
114, comparison of encryption algorithms based on speed and efficiency
115,knowledge of U.S. federal agencies
116, understanding of cybersecurity responsibilities
117,knowledge of personal privacy concepts
118, understanding of potential negative outcomes
119, awareness of privacy policy implications
120,malware analysis
121, debugging
122, malware behavior
123,Low Orbit Ion Canon
124, cybersecurity tools
125, denial of service attacks
126,wireless networking
127, network security
128, hacking techniques
129,ARP
130,network security
131, firewall functions
132, subnet knowledge
133,network security
134, access control lists
135, IP addressing
136, packet filtering
137,knowledge of cryptography
138, understanding of columnar transposition cipher
139, familiarity with cryptanalysis techniques
140, ability to analyze ciphertext
141, understanding of cribs in cryptanalysis
142,Knowledge of network security concepts
143, Understanding of IDS functionalities
144, Familiarity with network traffic analysis
145,Understanding of the TCP/IP model
146, Knowledge of network layer functions
147, Familiarity with addressing and routing concepts
148,Monitoring and network management
149, System administration
150, Information security
151,Audit report components
152, Basic concepts of auditing
153,Understanding of TCP and UDP protocols
154, Knowledge of network reliability concepts
155, Awareness of real time data transmission requirements
156,Understanding of cybersecurity concepts
157, Knowledge of network security
158, Familiarity with encryption techniques
159, Awareness of public vs private networks
160,tcpdump command syntax
161, network traffic filtering
162,knowledge of phishing
163, understanding of different cyber attack types
164, familiarity with voice communication in cyber attacks
165,network monitoring
166, packet analysis
167, network security
168,Knowledge of network security
169, Understanding of ARP protocol
170, Familiarity with ethical hacking tools
171,knowledge of stream ciphers
172, understanding of RC4 algorithm
173,knowledge of data communication
174, understanding of encryption processes
175, familiarity with error detection techniques
176,Risk assessment processes
177, Threat identification
178, Vulnerability assessment
179, Likelihood and impact determination
180,Knowledge of public company reporting requirements
181, Understanding of financial statements
182, Familiarity with SEC regulations
183, Awareness of EDGAR system
184,Knowledge of common forms of computer surveillance
185, Understanding of network security tools
186, Awareness of physical security methods
187,Understanding of computer malware types
188, Knowledge of how worms function and spread
189,Knowledge of security techniques
190, Understanding of intrusion detection systems
191, Familiarity with data analysis methods
192, Awareness of behavioral patterns in user activities
193,binary numbers
194, bitwise operations
195, XOR operation
196,Authorization concepts
197, Granularity of access control
198,cybersecurity policies
199, copyright laws
200, secure data storage practices
201,Cybersecurity fundamentals
202, CIA triad components
203,Knowledge of cryptographic key generation processes
204, Understanding of symmetric encryption algorithms
205, Awareness of key management practices
206,forensic science principles
207, jury comprehension
208, evidence presentation
209,Cybersecurity incident response processes
210, Evidentiary preservation in legal contexts
211, Digital forensics
212, Incident containment techniques
213,Social Engineering
214, Types of Cyber Attacks
215,Data security
216, Computer science
217,firewall types
218, network security concepts
219,knowledge of computer security
220, understanding of RF signals
221, awareness of computer crime types
222,nmap scanning techniques
223, TCP SYN scan
224,Cryptography basics
225, Key derivation function concepts
226, Encryption processes
227,Wi Fi security
228, 802.11 protocols
229, Wireless network attacks
230,cybersecurity principles
231, secure by default concept
232,Knowledge of TLS protocol objectives
233, Understanding of privacy concepts in network security
234, Awareness of authentication mechanisms in network communication
235, Familiarity with data integrity measures in secure communications
236,IT infrastructure management
237, Fault tolerance and redundancy
238, Equipment maintenance
239,Social engineering techniques
240, Common deception methods
241, Types of cyber attacks
242,Knowledge of cryptographic standards
243, Understanding of block ciphers
244,Knowledge of security practices
245, Understanding of broadband access methods
246, Awareness of Wi Fi security
247, Familiarity with network security
248,knowledge of internal auditing processes
249, understanding of cybersecurity principles
250, familiarity with organizational compliance requirements
251,authentication methods
252, factors of authentication
253, hardware tokens
254,operating system market share
255, desktop operating systems
256, cybersecurity and operating systems
257,TCP
258, IP header fields
259, transport protocols
260,SSL/TLS encryption process
261, Web server performance overhead
262, Network communication concepts
263,Understanding of SSO concepts
264, Knowledge of security threats in authentication systems
265, Awareness of session management vulnerabilities
266,Payment card security
267, Sensitive authentication data
268,Data transmission concepts
269, Cybersecurity terminology
270,LDAP injection
271, query manipulation techniques
272, authentication bypass methods
273, web application security
274,web application security
275, database security
276, SQL injection
277, attacker exploitation techniques
278,malware types
279, remote access techniques
280, cybersecurity fundamentals
281,knowledge of machine certificate architecture
282, understanding of EAP TLS protocol
283, familiarity with digital signature processes
284,Knowledge of cybersecurity concepts
285, Understanding of public key cryptography
286, Familiarity with digital certificates and their management
287,knowledge of biometric authentication
288, understanding of authentication methods
289, biological traits used in identification
290,knowledge of security systems
291, understanding of access control principles
292,Wireshark configuration
293, Network Interface Card (NIC) setup
294, Promiscuous mode operation
295, WinPcap library
296,knowledge of malware analysis
297, understanding of execution environments
298, awareness of threat mitigation techniques
299, familiarity with behavioral analysis of malware
300,knowledge of cryptographic algorithms
301, understanding of security standards in cryptography
302, familiarity with AES 256
303, awareness of the deprecation of RC4
304, knowledge of Triple DES limitations
305, information about Skipjack\s status
306,Authentication methods
307, Biometric authentication
308, Token based authentication
309, Knowledge based authentication
310,knowledge of cybersecurity
311, understanding of software vulnerabilities
312, awareness of potential security threats
313,Understanding of UDP protocol characteristics
314, Knowledge of TCP/IP protocols
315, Concepts of connectionless vs connection oriented protocols
316, Awareness of reliability and error recovery mechanisms
317,Understanding of security models
318, Knowledge of integrity models
319, Familiarity with Brewer Nash model
320, Awareness of Goguen Meseguer model
321, Understanding of Biba model
322, Knowledge of Sutherland\s work
323,Knowledge of HIPAA regulations
324, Understanding of medical privacy laws
325, Familiarity with healthcare legislation timeline
326,knowledge of cryptographic protocols
327, understanding of Dolev Yao model
328,Knowledge of network security
329, Understanding of distributed denial of service attacks
330, Familiarity with common attack tools
331,Auditing and control concepts
332, Internal control systems
333,cybersecurity principles
334, risk management concepts
335, security threat identification
336,NIST security standards
337, common security testing techniques
338,knowledge of virtualization technology
339, understanding of physical server and virtual machine dependencies
340,knowledge of secure distributed systems
341, understanding of security threats in distributed environments
342, awareness of resilience strategies
343, familiarity with phishing attack vectors
