,label,0,1,2,3,4,5,6,7,8
0,"1,6",0,1,0,0,0,0,1,0,0
1,5,0,0,0,0,0,1,0,0,0
2,0,1,0,0,0,0,0,0,0,0
3,"0,4",1,0,0,0,1,0,0,0,0
4,0,1,0,0,0,0,0,0,0,0
5,"0,1,5",1,1,0,0,0,1,0,0,0
6,0,1,0,0,0,0,0,0,0,0
7,"0,1,5",1,1,0,0,0,1,0,0,0
8,0,1,0,0,0,0,0,0,0,0
9,"0,4",1,0,0,0,1,0,0,0,0
10,"0,1,7",1,1,0,0,0,0,0,1,0
11,"1,7",0,1,0,0,0,0,0,1,0
12,0,1,0,0,0,0,0,0,0,0
13,0,1,0,0,0,0,0,0,0,0
14,"0,1,5,7",1,1,0,0,0,1,0,1,0
15,"1,2,5,6,7,8",0,1,1,0,0,1,1,1,1
16,0,1,0,0,0,0,0,0,0,0
17,"0,5,7",1,0,0,0,0,1,0,1,0
18,"1,7",0,1,0,0,0,0,0,1,0
19,"0,1,5,7",1,1,0,0,0,1,0,1,0
20,0,1,0,0,0,0,0,0,0,0
21,0,1,0,0,0,0,0,0,0,0
22,"0,1",1,1,0,0,0,0,0,0,0
23,0,1,0,0,0,0,0,0,0,0
24,"1,7",0,1,0,0,0,0,0,1,0
25,0,1,0,0,0,0,0,0,0,0
26,0,1,0,0,0,0,0,0,0,0
27,0,1,0,0,0,0,0,0,0,0
28,0,1,0,0,0,0,0,0,0,0
29,0,1,0,0,0,0,0,0,0,0
30,1,0,1,0,0,0,0,0,0,0
31,1,0,1,0,0,0,0,0,0,0
32,"1,2",0,1,1,0,0,0,0,0,0
33,1,0,1,0,0,0,0,0,0,0
34,0,1,0,0,0,0,0,0,0,0
35,1,0,1,0,0,0,0,0,0,0
36,0,1,0,0,0,0,0,0,0,0
37,0,1,0,0,0,0,0,0,0,0
38,0,1,0,0,0,0,0,0,0,0
39,0,1,0,0,0,0,0,0,0,0
40,0,1,0,0,0,0,0,0,0,0
41,0,1,0,0,0,0,0,0,0,0
42,0,1,0,0,0,0,0,0,0,0
43,0,1,0,0,0,0,0,0,0,0
44,0,1,0,0,0,0,0,0,0,0
45,0,1,0,0,0,0,0,0,0,0
46,0,1,0,0,0,0,0,0,0,0
47,"1,7",0,1,0,0,0,0,0,1,0
48,0,1,0,0,0,0,0,0,0,0
49,"2,3",0,0,1,1,0,0,0,0,0
50,"1,5",0,1,0,0,0,1,0,0,0
51,"0,1,5,6,7,8",1,1,0,0,0,1,1,1,1
52,"0,1",1,1,0,0,0,0,0,0,0
53,"0,1,5,7",1,1,0,0,0,1,0,1,0
54,"1,2,5",0,1,1,0,0,1,0,0,0
55,0,1,0,0,0,0,0,0,0,0
56,0,1,0,0,0,0,0,0,0,0
57,0,1,0,0,0,0,0,0,0,0
58,0,1,0,0,0,0,0,0,0,0
59,"0,1,5,7",1,1,0,0,0,1,0,1,0
60,1,0,1,0,0,0,0,0,0,0
61,"1,2,5",0,1,1,0,0,1,0,0,0
62,1,0,1,0,0,0,0,0,0,0
63,"1,7",0,1,0,0,0,0,0,1,0
64,0,1,0,0,0,0,0,0,0,0
65,"0,4",1,0,0,0,1,0,0,0,0
66,0,1,0,0,0,0,0,0,0,0
67,0,1,0,0,0,0,0,0,0,0
68,0,1,0,0,0,0,0,0,0,0
69,"0,1,2,3,4,5,7",1,1,1,1,1,1,0,1,0
70,0,1,0,0,0,0,0,0,0,0
71,"1,5,7",0,1,0,0,0,1,0,1,0
72,"1,7",0,1,0,0,0,0,0,1,0
73,"1,2,3",0,1,1,1,0,0,0,0,0
74,1,0,1,0,0,0,0,0,0,0
75,"0,1,5,6,7,8",1,1,0,0,0,1,1,1,1
76,"2,3",0,0,1,1,0,0,0,0,0
77,"0,1,2,3,4,5,6,7,8",1,1,1,1,1,1,1,1,1
78,0,1,0,0,0,0,0,0,0,0
79,1,0,1,0,0,0,0,0,0,0
80,0,1,0,0,0,0,0,0,0,0
81,0,1,0,0,0,0,0,0,0,0
82,1,0,1,0,0,0,0,0,0,0
83,"1,5",0,1,0,0,0,1,0,0,0
84,"1,5,7",0,1,0,0,0,1,0,1,0
85,"0,1,5,7",1,1,0,0,0,1,0,1,0
86,"1,5",0,1,0,0,0,1,0,0,0
87,"1,0",1,1,0,0,0,0,0,0,0
88,"1,7",0,1,0,0,0,0,0,1,0
89,0,1,0,0,0,0,0,0,0,0
90,0,1,0,0,0,0,0,0,0,0
91,0,1,0,0,0,0,0,0,0,0
92,"1,5,7",0,1,0,0,0,1,0,1,0
93,7,0,0,0,0,0,0,0,1,0
94,1,0,1,0,0,0,0,0,0,0
95,1,0,1,0,0,0,0,0,0,0
96,7,0,0,0,0,0,0,0,1,0
97,0,1,0,0,0,0,0,0,0,0
98,0,1,0,0,0,0,0,0,0,0
99,1,0,1,0,0,0,0,0,0,0
100,"0,1",1,1,0,0,0,0,0,0,0
101,"1,2",0,1,1,0,0,0,0,0,0
102,1,0,1,0,0,0,0,0,0,0
103,"1,4",0,1,0,0,1,0,0,0,0
104,"1,2",0,1,1,0,0,0,0,0,0
105,"2,3",0,0,1,1,0,0,0,0,0
106,"1,2",0,1,1,0,0,0,0,0,0
107,0,1,0,0,0,0,0,0,0,0
108,0,1,0,0,0,0,0,0,0,0
109,0,1,0,0,0,0,0,0,0,0
110,"0,7",1,0,0,0,0,0,0,1,0
111,1,0,1,0,0,0,0,0,0,0
112,1,0,1,0,0,0,0,0,0,0
113,1,0,1,0,0,0,0,0,0,0
114,"1,2",0,1,1,0,0,0,0,0,0
115,0,1,0,0,0,0,0,0,0,0
116,0,1,0,0,0,0,0,0,0,0
117,0,1,0,0,0,0,0,0,0,0
118,0,1,0,0,0,0,0,0,0,0
119,"1,6",0,1,0,0,0,0,1,0,0
120,"2,5",0,0,1,0,0,1,0,0,0
121,0,1,0,0,0,0,0,0,0,0
122,"2,5",0,0,1,0,0,1,0,0,0
123,0,1,0,0,0,0,0,0,0,0
124,"0,1,2,5,7",1,1,1,0,0,1,0,1,0
125,"0,5",1,0,0,0,0,1,0,0,0
126,"0,4",1,0,0,0,1,0,0,0,0
127,"0,1,5,7",1,1,0,0,0,1,0,1,0
128,"0,1,2,5",1,1,1,0,0,1,0,0,0
129,"0,4",1,0,0,0,1,0,0,0,0
130,"0,1,5,7",1,1,0,0,0,1,0,1,0
131,"1,5",0,1,0,0,0,1,0,0,0
132,0,1,0,0,0,0,0,0,0,0
133,"0,1,5,7",1,1,0,0,0,1,0,1,0
134,"1,5",0,1,0,0,0,1,0,0,0
135,"0,1,4,5",1,1,0,0,1,1,0,0,0
136,"0,1,5",1,1,0,0,0,1,0,0,0
137,1,0,1,0,0,0,0,0,0,0
138,1,0,1,0,0,0,0,0,0,0
139,"1,0",1,1,0,0,0,0,0,0,0
140,1,0,1,0,0,0,0,0,0,0
141,0,1,0,0,0,0,0,0,0,0
142,0,1,0,0,0,0,0,0,0,0
143,"0,1,5",1,1,0,0,0,1,0,0,0
144,"0,1,5",1,1,0,0,0,1,0,0,0
145,0,1,0,0,0,0,0,0,0,0
146,0,1,0,0,0,0,0,0,0,0
147,0,1,0,0,0,0,0,0,0,0
148,0,1,0,0,0,0,0,0,0,0
149,5,0,0,0,0,0,1,0,0,0
150,"0,1,5,7",1,1,0,0,0,1,0,1,0
151,0,1,0,0,0,0,0,0,0,0
152,0,1,0,0,0,0,0,0,0,0
153,0,1,0,0,0,0,0,0,0,0
154,0,1,0,0,0,0,0,0,0,0
155,0,1,0,0,0,0,0,0,0,0
156,0,1,0,0,0,0,0,0,0,0
157,0,1,0,0,0,0,0,0,0,0
158,"1,0",1,1,0,0,0,0,0,0,0
159,"1,7",0,1,0,0,0,0,0,1,0
160,"0,5",1,0,0,0,0,1,0,0,0
161,"1,5",0,1,0,0,0,1,0,0,0
162,"1,6",0,1,0,0,0,0,1,0,0
